year,area,age_group,sex,population
2021, Vega Alta del Segura,90-94,1,326
2021, Vega Alta del Segura,95+,1,80
2022,Murcia Oeste,0-4,0,6341
2022,Murcia Oeste,5-9,0,7523
2022,Murcia Oeste,10-14,0,8150
2022,Murcia Oeste,15-19,0,8158
2022,Murcia Oeste,20-24,0,7826
2022,Murcia Oeste,25-29,0,7732
2022,Murcia Oeste,30-34,0,8559
2022,Murcia Oeste,35-39,0,9172
2022,Murcia Oeste,40-44,0,11720
2022,Murcia Oeste,45-49,0,12073
2022,Murcia Oeste,50-54,0,10664
2022,Murcia Oeste,55-59,0,9609
2022,Murcia Oeste,60-64,0,7670
2022,Murcia Oeste,65-69,0,5796
2022,Murcia Oeste,70-74,0,4595
2022,Murcia Oeste,75-79,0,3514
2022,Murcia Oeste,80-84,0,2308
2022,Murcia Oeste,85-89,0,1525
2022,Murcia Oeste,90-94,0,622
2022,Murcia Oeste,95+,0,93
2022,Murcia Oeste,0-4,1,5832
2022,Murcia Oeste,5-9,1,7029
2022,Murcia Oeste,10-14,1,7652
2022,Murcia Oeste,15-19,1,7621
2022,Murcia Oeste,20-24,1,7099
2022,Murcia Oeste,25-29,1,7440
2022,Murcia Oeste,30-34,1,8677
2022,Murcia Oeste,35-39,1,9231
2022,Murcia Oeste,40-44,1,11278
2022,Murcia Oeste,45-49,1,11342
2022,Murcia Oeste,50-54,1,10333
2022,Murcia Oeste,55-59,1,9523
2022,Murcia Oeste,60-64,1,8055
2022,Murcia Oeste,65-69,1,6289
2022,Murcia Oeste,70-74,1,5608
2022,Murcia Oeste,75-79,1,4476
2022,Murcia Oeste,80-84,1,3392
2022,Murcia Oeste,85-89,1,2552
2022,Murcia Oeste,90-94,1,1218
2022,Murcia Oeste,95+,1,293
2022, Cartagena,0-4,0,6256
2022, Cartagena,5-9,0,7940
2022, Cartagena,10-14,0,9090
2022, Cartagena,15-19,0,9003
2022, Cartagena,20-24,0,8375
2022, Cartagena,25-29,0,7908
2022, Cartagena,30-34,0,8330
2022, Cartagena,35-39,0,9273
2022, Cartagena,40-44,0,11585
2022, Cartagena,45-49,0,12475
2022, Cartagena,50-54,0,11152
2022, Cartagena,55-59,0,10321
2022, Cartagena,60-64,0,8154
2022, Cartagena,65-69,0,6704
2022, Cartagena,70-74,0,5467
2022, Cartagena,75-79,0,4296
2022, Cartagena,80-84,0,2627
2022, Cartagena,85-89,0,1769
2022, Cartagena,90-94,0,616
2022, Cartagena,95+,0,102
2022, Cartagena,0-4,1,5911
2022, Cartagena,5-9,1,7355
2022, Cartagena,10-14,1,8414
2022, Cartagena,15-19,1,8258
2022, Cartagena,20-24,1,7610
2022, Cartagena,25-29,1,7402
2022, Cartagena,30-34,1,8577
2022, Cartagena,35-39,1,9463
2022, Cartagena,40-44,1,11114
2022, Cartagena,45-49,1,11299
2022, Cartagena,50-54,1,10550
2022, Cartagena,55-59,1,9996
2022, Cartagena,60-64,1,8558
2022, Cartagena,65-69,1,7222
2022, Cartagena,70-74,1,6152
2022, Cartagena,75-79,1,5524
2022, Cartagena,80-84,1,3685
2022, Cartagena,85-89,1,2937
2022, Cartagena,90-94,1,1310
2022, Cartagena,95+,1,352
2022,: Lorca,0-4,0,4171
2022,: Lorca,5-9,0,5407
2022,: Lorca,10-14,0,5764
2022,: Lorca,15-19,0,5808
2022,: Lorca,20-24,0,6200
2022,: Lorca,25-29,0,6114
2022,: Lorca,30-34,0,6128
2022,: Lorca,35-39,0,7067
2022,: Lorca,40-44,0,9241
2022,: Lorca,45-49,0,9308
2022,: Lorca,50-54,0,7611
2022,: Lorca,55-59,0,6468
2022,: Lorca,60-64,0,4990
2022,: Lorca,65-69,0,3900
2022,: Lorca,70-74,0,3265
2022,: Lorca,75-79,0,2587
2022,: Lorca,80-84,0,1564
2022,: Lorca,85-89,0,1016
2022,: Lorca,90-94,0,396
2022,: Lorca,95+,0,84
2022,: Lorca,0-4,1,4009
2022,: Lorca,5-9,1,4996
2022,: Lorca,10-14,1,5389
2022,: Lorca,15-19,1,5255
2022,: Lorca,20-24,1,5285
2022,: Lorca,25-29,1,5310
2022,: Lorca,30-34,1,5863
2022,: Lorca,35-39,1,6436
2022,: Lorca,40-44,1,7690
2022,: Lorca,45-49,1,7599
2022,: Lorca,50-54,1,6784
2022,: Lorca,55-59,1,6110
2022,: Lorca,60-64,1,4909
2022,: Lorca,65-69,1,3992
2022,: Lorca,70-74,1,3656
2022,: Lorca,75-79,1,3094
2022,: Lorca,80-84,1,2196
2022,: Lorca,85-89,1,1749
2022,: Lorca,90-94,1,798
2022,: Lorca,95+,1,227
2022, Noroeste,0-4,0,1271
2022, Noroeste,5-9,0,1658
2022, Noroeste,10-14,0,1886
2022, Noroeste,15-19,0,1990
2022, Noroeste,20-24,0,2015
2022, Noroeste,25-29,0,2151
2022, Noroeste,30-34,0,2162
2022, Noroeste,35-39,0,2104
2022, Noroeste,40-44,0,2656
2022, Noroeste,45-49,0,2872
2022, Noroeste,50-54,0,2840
2022, Noroeste,55-59,0,2744
2022, Noroeste,60-64,0,2420
2022, Noroeste,65-69,0,1860
2022, Noroeste,70-74,0,1429
2022, Noroeste,75-79,0,1188
2022, Noroeste,80-84,0,853
2022, Noroeste,85-89,0,604
2022, Noroeste,90-94,0,262
2022, Noroeste,95+,0,64
2022, Noroeste,0-4,1,1175
2022, Noroeste,5-9,1,1514
2022, Noroeste,10-14,1,1703
2022, Noroeste,15-19,1,1888
2022, Noroeste,20-24,1,1909
2022, Noroeste,25-29,1,1957
2022, Noroeste,30-34,1,1971
2022, Noroeste,35-39,1,2046
2022, Noroeste,40-44,1,2472
2022, Noroeste,45-49,1,2662
2022, Noroeste,50-54,1,2719
2022, Noroeste,55-59,1,2706
2022, Noroeste,60-64,1,2388
2022, Noroeste,65-69,1,1823
2022, Noroeste,70-74,1,1614
2022, Noroeste,75-79,1,1467
2022, Noroeste,80-84,1,1103
2022, Noroeste,85-89,1,907
2022, Noroeste,90-94,1,450
2022, Noroeste,95+,1,87
2022,Altiplano,0-4,0,1336
2022,Altiplano,5-9,0,1689
2022,Altiplano,10-14,0,1969
2022,Altiplano,15-19,0,1958
2022,Altiplano,20-24,0,2054
2022,Altiplano,25-29,0,2090
2022,Altiplano,30-34,0,2122
2022,Altiplano,35-39,0,2168
2022,Altiplano,40-44,0,2938
2022,Altiplano,45-49,0,2866
2022,Altiplano,50-54,0,2534
2022,Altiplano,55-59,0,2231
2022,Altiplano,60-64,0,1973
2022,Altiplano,65-69,0,1423
2022,Altiplano,70-74,0,1166
2022,Altiplano,75-79,0,822
2022,Altiplano,80-84,0,519
2022,Altiplano,85-89,0,353
2022,Altiplano,90-94,0,172
2022,Altiplano,95+,0,32
2022,Altiplano,0-4,1,1284
2022,Altiplano,5-9,1,1592
2022,Altiplano,10-14,1,1851
2022,Altiplano,15-19,1,1867
2022,Altiplano,20-24,1,1851
2022,Altiplano,25-29,1,1728
2022,Altiplano,30-34,1,1714
2022,Altiplano,35-39,1,1998
2022,Altiplano,40-44,1,2529
2022,Altiplano,45-49,1,2508
2022,Altiplano,50-54,1,2188
2022,Altiplano,55-59,1,2106
2022,Altiplano,60-64,1,1929
2022,Altiplano,65-69,1,1468
2022,Altiplano,70-74,1,1251
2022,Altiplano,75-79,1,964
2022,Altiplano,80-84,1,680
2022,Altiplano,85-89,1,601
2022,Altiplano,90-94,1,312
2022,Altiplano,95+,1,69
2022, Vega Media del Segura,0-4,0,5897
2022, Vega Media del Segura,5-9,0,7443
2022, Vega Media del Segura,10-14,0,8449
2022, Vega Media del Segura,15-19,0,8516
2022, Vega Media del Segura,20-24,0,7805
2022, Vega Media del Segura,25-29,0,7838
2022, Vega Media del Segura,30-34,0,8388
2022, Vega Media del Segura,35-39,0,9018
2022, Vega Media del Segura,40-44,0,11628
2022, Vega Media del Segura,45-49,0,12209
2022, Vega Media del Segura,50-54,0,10853
2022, Vega Media del Segura,55-59,0,9668
2022, Vega Media del Segura,60-64,0,7531
2022, Vega Media del Segura,65-69,0,5541
2022, Vega Media del Segura,70-74,0,4457
2022, Vega Media del Segura,75-79,0,3462
2022, Vega Media del Segura,80-84,0,2257
2022, Vega Media del Segura,85-89,0,1539
2022, Vega Media del Segura,90-94,0,619
2022, Vega Media del Segura,95+,0,129
2022, Vega Media del Segura,0-4,1,5492
2022, Vega Media del Segura,5-9,1,6965
2022, Vega Media del Segura,10-14,1,8013
2022, Vega Media del Segura,15-19,1,7791
2022, Vega Media del Segura,20-24,1,7143
2022, Vega Media del Segura,25-29,1,7471
2022, Vega Media del Segura,30-34,1,8396
2022, Vega Media del Segura,35-39,1,9607
2022, Vega Media del Segura,40-44,1,11138
2022, Vega Media del Segura,45-49,1,11549
2022, Vega Media del Segura,50-54,1,10706
2022, Vega Media del Segura,55-59,1,9626
2022, Vega Media del Segura,60-64,1,7921
2022, Vega Media del Segura,65-69,1,6198
2022, Vega Media del Segura,70-74,1,5335
2022, Vega Media del Segura,75-79,1,4397
2022, Vega Media del Segura,80-84,1,3284
2022, Vega Media del Segura,85-89,1,2481
2022, Vega Media del Segura,90-94,1,1249
2022, Vega Media del Segura,95+,1,345
2022,: Murcia Este,0-4,0,4504
2022,: Murcia Este,5-9,0,5697
2022,: Murcia Este,10-14,0,6393
2022,: Murcia Este,15-19,0,6248
2022,: Murcia Este,20-24,0,6224
2022,: Murcia Este,25-29,0,6298
2022,: Murcia Este,30-34,0,6732
2022,: Murcia Este,35-39,0,7098
2022,: Murcia Este,40-44,0,9213
2022,: Murcia Este,45-49,0,9564
2022,: Murcia Este,50-54,0,8477
2022,: Murcia Este,55-59,0,7590
2022,: Murcia Este,60-64,0,5836
2022,: Murcia Este,65-69,0,4236
2022,: Murcia Este,70-74,0,3331
2022,: Murcia Este,75-79,0,2451
2022,: Murcia Este,80-84,0,1735
2022,: Murcia Este,85-89,0,1115
2022,: Murcia Este,90-94,0,495
2022,: Murcia Este,95+,0,83
2022,: Murcia Este,0-4,1,4218
2022,: Murcia Este,5-9,1,5279
2022,: Murcia Este,10-14,1,6045
2022,: Murcia Este,15-19,1,5920
2022,: Murcia Este,20-24,1,5609
2022,: Murcia Este,25-29,1,5903
2022,: Murcia Este,30-34,1,6685
2022,: Murcia Este,35-39,1,7111
2022,: Murcia Este,40-44,1,8746
2022,: Murcia Este,45-49,1,8997
2022,: Murcia Este,50-54,1,8236
2022,: Murcia Este,55-59,1,7559
2022,: Murcia Este,60-64,1,6249
2022,: Murcia Este,65-69,1,4999
2022,: Murcia Este,70-74,1,4028
2022,: Murcia Este,75-79,1,3339
2022,: Murcia Este,80-84,1,2595
2022,: Murcia Este,85-89,1,1973
2022,: Murcia Este,90-94,1,945
2022,: Murcia Este,95+,1,211
2022,I: Mar Menor,0-4,0,2812
2022,I: Mar Menor,5-9,0,3812
2022,I: Mar Menor,10-14,0,4238
2022,I: Mar Menor,15-19,0,3946
2022,I: Mar Menor,20-24,0,3671
2022,I: Mar Menor,25-29,0,3364
