area,center_id,professional_type,total_hours,total_area_hours,weight
Lorca,277,Pediatrician,30,992.6952511773939,0.030220755024684836
Lorca,278,GP,20,3743.2143768973488,0.005343001491829456
Lorca,278,Nurse,40,5151.337212639113,0.007764974092912732
Lorca,278,Pediatrician,20,992.6952511773939,0.020147170016456557
Mar Menor,139,GP,355.7383781287664,2200.2678548074855,0.16167957794388269
Mar Menor,139,Nurse,446.01905731098816,2650.144166398018,0.16829992230845367
Mar Menor,139,Pediatrician,92.99188906331763,689.9675562532706,0.13477719092806523
Mar Menor,140,GP,166.01124312675765,2200.2678548074855,0.07545046970714525
Mar Menor,140,Nurse,148.67301910366268,2650.144166398018,0.056099974102817876
Mar Menor,140,Pediatrician,23.247972265829407,689.9675562532706,0.03369429773201631
Mar Menor,141,GP,71.1476756257533,2200.2678548074855,0.03233591558877654
Mar Menor,141,Nurse,59.46920764146507,2650.144166398018,0.02243998964112715
Mar Menor,141,Pediatrician,23.247972265829407,689.9675562532706,0.03369429773201631
Mar Menor,142,GP,332.0224862535153,2200.2678548074855,0.1509009394142905
Mar Menor,142,Nurse,446.01905731098816,2650.144166398018,0.16829992230845367
Mar Menor,142,Pediatrician,92.99188906331763,689.9675562532706,0.13477719092806523
Mar Menor,143,GP,118.57945937625547,2200.2678548074855,0.0538931926479609
Mar Menor,143,Nurse,148.67301910366268,2650.144166398018,0.056099974102817876
Mar Menor,143,Pediatrician,23.247972265829407,689.9675562532706,0.03369429773201631
Mar Menor,144,GP,280,2200.2678548074855,0.12725723342647247
Mar Menor,144,Nurse,385,2650.144166398018,0.1452751155508941
Mar Menor,144,Pediatrician,105,689.9675562532706,0.1521810685855742
Mar Menor,145,GP,118.57945937625547,2200.2678548074855,0.0538931926479609
Mar Menor,145,Nurse,148.67301910366268,2650.144166398018,0.056099974102817876
Mar Menor,145,Pediatrician,46.495944531658814,689.9675562532706,0.06738859546403261
Mar Menor,146,GP,165,2200.2678548074855,0.0749908696977427
Mar Menor,146,Nurse,165,2650.144166398018,0.06226076380752604
Mar Menor,146,Pediatrician,110,689.9675562532706,0.1594277861372682
Mar Menor,147,GP,75,2200.2678548074855,0.03408675895351941
Mar Menor,147,Nurse,50,2650.144166398018,0.01886689812349274
Mar Menor,147,Pediatrician,25,689.9675562532706,0.03623358775847005
Mar Menor,148,GP,23.715891875251096,2200.2678548074855,0.01077863852959218
Mar Menor,148,Nurse,29.734603820732534,2650.144166398018,0.011219994820563574
Mar Menor,149,GP,17.5,2200.2678548074855,0.007953577089154529
Mar Menor,149,Nurse,30.833333333333336,2650.144166398018,0.011634587176153857
Mar Menor,149,Pediatrician,18.333333333333336,689.9675562532706,0.026571297689544707
Mar Menor,157,GP,237.1589187525109,2200.2678548074855,0.10778638529592179
Mar Menor,157,Nurse,327.0806420280579,2650.144166398018,0.12341994302619934
Mar Menor,157,Pediatrician,69.74391679748823,689.9675562532706,0.10108289319604892
Mar Menor,158,GP,71.1476756257533,2200.2678548074855,0.03233591558877654
Mar Menor,158,Nurse,59.46920764146507,2650.144166398018,0.02243998964112715
Mar Menor,272,GP,168.66666666666666,2200.2678548074855,0.07665733346880364
Mar Menor,272,Nurse,205.50000000000003,2650.144166398018,0.07754295128755517
Mar Menor,272,Pediatrician,59.666666666666664,689.9675562532706,0.08647749611688185
Murcia Este,5,GP,106,3414.1666666666665,0.031047107639736393
Murcia Este,5,Nurse,196,5867.711691086691,0.03340314083558886
Murcia Este,5,Pediatrician,37.5,951,0.03943217665615142
Murcia Este,8,GP,240,3414.1666666666665,0.07029533805223334
Murcia Este,8,Nurse,490,5867.711691086691,0.08350785208897214
Murcia Este,8,Pediatrician,75,951,0.07886435331230283
Murcia Este,9,GP,225,3414.1666666666665,0.06590187942396876
Murcia Este,9,Nurse,320,5867.711691086691,0.054535740139736916
Murcia Este,9,Pediatrician,62.5,951,0.06572029442691903
Murcia Este,10,GP,200,3414.1666666666665,0.05857944837686112
Murcia Este,10,Nurse,350,5867.711691086691,0.05964846577783725
Murcia Este,10,Pediatrician,50,951,0.052576235541535225
Murcia Este,28,GP,65,3414.1666666666665,0.019038320722479865
Murcia Este,28,Nurse,168.75,5867.711691086691,0.028759081714314388
Murcia Este,28,Pediatrician,25,951,0.026288117770767613
Murcia Este,32,GP,250,3414.1666666666665,0.0732243104710764
Murcia Este,32,Nurse,420,5867.711691086691,0.0715781589334047
Murcia Este,32,Pediatrician,50,951,0.052576235541535225
Murcia Este,35,GP,300,3414.1666666666665,0.08786917256529168
Murcia Este,35,Nurse,500.17857142857144,5867.711691086691,0.0852425268590419
Murcia Este,35,Pediatrician,75,951,0.07886435331230283
Murcia Este,38,GP,230,3414.1666666666665,0.06736636563339028
Murcia Este,38,Nurse,398,5867.711691086691,0.06782882679879779
Murcia Este,38,Pediatrician,120,951,0.12618296529968454
Murcia Este,40,GP,240,3414.1666666666665,0.07029533805223334
Murcia Este,40,Nurse,525,5867.711691086691,0.08947269866675588
Murcia Este,40,Pediatrician,75,951,0.07886435331230283
Murcia Este,53,GP,40,3414.1666666666665,0.011715889675372224
Murcia Este,53,Nurse,70,5867.711691086691,0.01192969315556745
Murcia Este,66,GP,125,3414.1666666666665,0.0366121552355382
Murcia Este,66,Nurse,163.5,5867.711691086691,0.02786435472764683
Murcia Este,66,Pediatrician,25,951,0.026288117770767613
Murcia Este,68,GP,102,3414.1666666666665,0.02987551867219917
Murcia Este,68,Nurse,169.72222222222223,5867.711691086691,0.028924771897030604
Murcia Este,68,Pediatrician,25.5,951,0.026813880126182965
Murcia Este,81,GP,50,3414.1666666666665,0.01464486209421528
Murcia Este,81,Nurse,74.5,5867.711691086691,0.0126966020012825
Murcia Este,81,Pediatrician,3,951,0.0031545741324921135
Murcia Este,86,GP,100,3414.1666666666665,0.02928972418843056
Murcia Este,86,Nurse,155,5867.711691086691,0.026415749130185066
Murcia Este,86,Pediatrician,25,951,0.026288117770767613
Murcia Este,94,GP,75,3414.1666666666665,0.02196729314132292
